url,label
https://live-bridgecdn.wixstudio.com/en-us,phishing
https://bridge-globalcdn.wixstudio.com/en-us,phishing
https://bridgesapp-live.wixstudio.com/us-en,phishing
https://started-ssoapps.wixstudio.com/start-en,phishing
https://starts-cdnledgr.wixstudio.com/us-en,phishing
https://started-ssoapps.wixstudio.com/en-us,phishing
https://desktop-startsen.wixstudio.com/en-us,phishing
https://started-ssoapps.wixstudio.com/us-en,phishing
https://ldgrliv-enpublic.wixstudio.com/desktop,phishing
https://ldgrliv-enpublic.wixstudio.com/en-us,phishing
https://ssoappcomstarts.wixstudio.com/en-us,phishing
https://endesktop-ledgrs.wixstudio.com/en-us-desktop,phishing
https://klelnanzeigen-deutch.rxb3r8.mom/support-iframe/XG-H6ur6PjF,phishing
https://klelnanzeigen-deutch.rxb3r8.mom/receive/order/XG-H6ur6PjF?r=0x3&__cf_chl_rt_tk=akIBGFHA5wWaufypwutYqXu1EzNZb27uhB0NWVbfmmM-1780148702-1.0.1.1-09xYo2zxohX0CR4PQjYwZcAXlRKwp3UzOCLc56Ys110,phishing
https://klelnanzeigen-deutch.rxb3r8.mom/receive/order/XG-H6ur6PjF?r=0x3,phishing
https://allegro-lokalnie.smart9482302.lat/lokalnie/?id=7o6v3d4s5e4v5p8x9j4h6z5g1d6g6n5a,phishing
http://allegro-lokalnie.smart9482302.lat/lokalnie?id=7o6v3d4s5e4v5p8x9j4h6z5g1d6g6n5a,phishing
https://klelnanzeigen-deutch.fiz10k.lat/receive/order/mfFFAQ5qjvV?r=0x14&__cf_chl_rt_tk=Mt82577A_r60X_cbvXETiMepKP0fS84XBVfDu3k173o-1780144704-1.0.1.1-u3o5_kZq74DbtsyAWZfHu1fx_mTd3pIXzk4RcYAL.k0,phishing
https://klelnanzeigen-deutch.fiz10k.lat/receive/order/mfFFAQ5qjvV?r=0x14&__cf_chl_rt_tk=1RwdFALbAZXl3_.hfuvnM1wlo7U5aag3Y4uPpYXY4VI-1780144697-1.0.1.1-MkX1TIIcqKCb3WGeAW2Gs7ZAe7QiKb.N5Jol6InuZMI,phishing
https://klelnanzeigen-deutch.fiz10k.lat/receive/order/mfFFAQ5qjvV?r=0x14,phishing
https://xdjtz.021110f6-5146-4ad7-abf0-b91adf8d5ff3.click/ab753813-65b8-4970-99d4-b2b2abc212e6.php,phishing
https://xbhoanectxcl.021110f6-5146-4ad7-abf0-b91adf8d5ff3.click/ab753813-65b8-4970-99d4-b2b2abc212e6.php,phishing
